word,type,definitions,examples

caveat,noun,"['a warning or proviso of specific stipulations, conditions, or limitations']",[['there are a number of caveats which concern the validity of the assessment results']]

gratuitous,adjective,['given or done free of charge'],[['solicitors provide a form of gratuitous legal advice']]

veracity,noun,['conformity to facts; accuracy'],[['officials expressed doubts concerning the veracity of the story']]

altruistic,adjective,['showing a disinterested and selfless concern for the well-being of others; unselfish'],"[['it was an entirely altruistic act', 'I question how altruistic his motives were']]"

apartheid,noun,['(in South Africa) a policy or system of segregation or discrimination on grounds of race.'],['No examples']

visceral,adjective,['relating to deep inward feelings rather than to the intellect'],"[[""the voters' visceral fear of change""]]"

ubiquitous,adjective,"['present, appearing, or found everywhere']","[['his ubiquitous influence was felt by all the family', 'cowboy hats are ubiquitous among the male singers']]"

servitude,noun,['the subjection of property to an easement.'],['No examples']

stricture,noun,['abnormal narrowing of a canal or duct in the body'],"[['a colonic stricture', 'jaundice caused by bile duct stricture']]"

opine,verb,"[""hold and state as one's opinion""]","[['�The man is a genius,� he opined', 'the headmistress opined that the outing would make a nice change for Flora']]"

larder,noun,['a room or large cupboard for storing food.'],['No examples']

heresy,noun,['belief or opinion contrary to orthodox religious (especially Christian) doctrine'],"[['Huss was burned for heresy', 'the doctrine was denounced as a heresy by the Pope']]"

conflate,verb,"['combine (two or more sets of information, texts, ideas, etc.) into one']","[['the urban crisis conflates a number of different economic, political, and social issues']]"

beset,verb,['be covered or studded with'],[['springy grass all beset with tiny jewel-like flowers']]

beleaguered,adjective,['(of a place) surrounded by armed forces aiming to capture it or force surrender; besieged'],[['he led a relief force to the aid of the beleaguered city']]

ostensible,adjective,"['stated or appearing to be true, but not necessarily so']",[['the real dispute which lay behind the ostensible complaint']]

dogma,noun,['a principle or set of principles laid down by an authority as incontrovertibly true'],"[['the dogmas of faith', 'the rejection of political dogma']]"

technocracy,noun,['the government or control of society or industry by an elite of technical experts'],[['failure in the war on poverty discredited technocracy']]

proxy,noun,['a figure that can be used to represent the value of something in a calculation'],[['the use of a US wealth measure as a proxy for the true worldwide measure']]

